Validator,PT_VERSION,2.7.1
GemmTunableOp_float_TN,tn_80_12974_257_ld_257_257_80,Default,0.134093
GemmTunableOp_float_TN,tn_80_31936_257_ld_257_257_80,Default,0.300257
GemmTunableOp_float_TN,tn_80_4_257_ld_257_257_80,Default,0.0292886
GemmTunableOp_float_TN,tn_80_1_257_ld_257_257_80,Default,0.0241456
GemmTunableOp_float_TN,tn_80_11_257_ld_257_257_80,Default,0.0295792
GemmTunableOp_float_TN,tn_80_23_257_ld_257_257_80,Default,0.0378669
GemmTunableOp_float_TN,tn_128_8246_256_ld_256_256_128,Default,0.0878602
GemmTunableOp_float_TN,tn_128_18848_256_ld_256_256_128,Default,0.21288
GemmTunableOp_float_NN,nn_3_8246_7_ld_3_7_3,Default,0.0461098
GemmTunableOp_float_NN,nn_3_589_7_ld_3_7_3,Default,0.0433235
GemmTunableOp_float_NN,nn_3_18848_7_ld_3_7_3,Default,0.103049
GemmTunableOp_float_NN,nn_125_40_1_ld_125_1_125,Default,0.050121
GemmAndBiasTunableOp_float_TN,tn_256_1_5120_ld_5120_5120_256,Default,0.0606342
GemmAndBiasTunableOp_float_TN,tn_256_32_5120_ld_5120_5120_256,Default,0.0455965
GemmAndBiasTunableOp_float_TN,tn_7_589_128_ld_128_128_7,Default,0.0373578
GemmAndBiasTunableOp_float_TN,tn_128_589_256_ld_256_256_128,Default,0.040777
GemmAndBiasTunableOp_float_TN,tn_128_589_128_ld_128_128_128,Default,0.0308563
GemmAndBiasTunableOp_float_TN,tn_512_1344_2048_ld_2048_2048_512,Default,0.451138
GemmAndBiasTunableOp_float_TN,tn_1536_1344_512_ld_512_512_1536,Default,0.329008
GemmAndBiasTunableOp_float_TN,tn_256_13_5120_ld_5120_5120_256,Default,0.0511699
GemmAndBiasTunableOp_float_TN,tn_1024_2688_512_ld_512_512_1024,Default,0.458783
GemmAndBiasTunableOp_float_TN,tn_512_1344_512_ld_512_512_512,Default,0.124109
GemmAndBiasTunableOp_float_TN,tn_512_2688_2048_ld_2048_2048_512,Default,0.823239
GemmAndBiasTunableOp_float_TN,tn_1024_1344_512_ld_512_512_1024,Default,0.231537
GemmAndBiasTunableOp_float_TN,tn_2048_2688_512_ld_512_512_2048,Default,0.841294
GemmAndBiasTunableOp_float_TN,tn_7_8246_128_ld_128_128_7,Default,0.03516
GemmAndBiasTunableOp_float_TN,tn_2048_1344_512_ld_512_512_2048,Default,0.432351
GemmAndBiasTunableOp_float_TN,tn_512_2688_512_ld_512_512_512,Default,0.22955
GemmAndBiasTunableOp_float_TN,tn_1536_2688_512_ld_512_512_1536,Default,0.685461
GemmAndBiasTunableOp_float_TN,tn_128_18848_128_ld_128_128_128,Default,0.102933
GemmAndBiasTunableOp_float_TN,tn_7_18848_128_ld_128_128_7,Default,0.0459238
GemmAndBiasTunableOp_float_TN,tn_128_8246_128_ld_128_128_128,Default,0.0477389
